sp,sptr_index
9/16/2019,6048.669
9/17/2019,6064.306
9/18/2019,6066.419
9/19/2019,6066.902
9/20/2019,6037.495
9/23/2019,6036.904
9/24/2019,5986.582
9/25/2019,6023.455
9/26/2019,6009.189
9/27/2019,5978.108
9/30/2019,6008.59
10/1/2019,5935.198
10/2/2019,5828.934
10/3/2019,5876.864
10/4/2019,5960.432
10/7/2019,5933.763
10/8/2019,5841.569
10/9/2019,5896.605
10/10/2019,5934.564
10/11/2019,6000.042
10/14/2019,5991.721
10/15/2019,6051.388
10/16/2019,6039.691
10/17/2019,6056.842
10/18/2019,6033.26
10/21/2019,6074.904
10/22/2019,6053.415
10/23/2019,6070.868
10/24/2019,6082.539
10/25/2019,6107.418
10/28/2019,6141.507
10/29/2019,6136.471
10/30/2019,6156.934
10/31/2019,6138.735
11/1/2019,6198.591
11/4/2019,6221.626
11/5/2019,6214.279
11/6/2019,6219.096
11/7/2019,6238.989
11/8/2019,6256.109
11/11/2019,6243.812
11/12/2019,6253.913
11/13/2019,6258.585
11/14/2019,6265.423
11/15/2019,6314.744
11/18/2019,6318.018
11/19/2019,6314.663
11/20/2019,6292.17
11/21/2019,6282.594
11/22/2019,6296.337
11/25/2019,6344.363
11/26/2019,6358.456
11/27/2019,6385.765
11/29/2019,6361.564
12/2/2019,6306.877
12/3/2019,6265.215
12/4/2019,6305.492
12/5/2019,6316.692
12/6/2019,6374.705
12/9/2019,6355.07
12/10/2019,6348.312
12/11/2019,6366.838
12/12/2019,6422.345
12/13/2019,6423.928
12/16/2019,6470.028
12/17/2019,6472.242
12/18/2019,6469.997
12/19/2019,6499.262
12/20/2019,6531.749
12/23/2019,6537.397
12/24/2019,6536.584
12/26/2019,6570.706
12/27/2019,6571.034
12/30/2019,6533.907
12/31/2019,6553.569
1/2/2020,6609.288
1/3/2020,6563.32
1/6/2020,6586.539
1/7/2020,6568.737
1/8/2020,6601.153
1/9/2020,6646.843
1/10/2020,6627.874
1/13/2020,6674.135
1/14/2020,6664.663
1/15/2020,6677.251
1/16/2020,6733.352
1/17/2020,6759.51
1/21/2020,6741.707
1/22/2020,6743.898
1/23/2020,6752.087
1/24/2020,6691.219
1/27/2020,6585.951
1/28/2020,6652.304
1/29/2020,6646.687
1/30/2020,6668.524
1/31/2020,6550.999
2/3/2020,6598.626
2/4/2020,6697.486
2/5/2020,6772.984
2/6/2020,6796.64
2/7/2020,6761.262
2/10/2020,6811.833
2/11/2020,6823.595
2/12/2020,6867.923
2/13/2020,6858.916
2/14/2020,6872.681
2/18/2020,6853.04
2/19/2020,6886.474
2/20/2020,6860.525
2/21/2020,6788.599
2/24/2020,6561.935
2/25/2020,6363.375
2/26/2020,6339.38
2/27/2020,6060.668
2/28/2020,6011.726
3/2/2020,6288.644
3/3/2020,6112.074
3/4/2020,6370.355
3/5/2020,6155.58
3/6/2020,6050.798
3/9/2020,5591.739
3/10/2020,5868.106
3/11/2020,5581.759
3/12/2020,5051.972
3/13/2020,5522.845
3/16/2020,4861.219
3/17/2020,5152.825
3/18/2020,4885.763
3/19/2020,4909.132
3/20/2020,4697.089
3/23/2020,4559.505
3/24/2020,4987.8
3/25/2020,5045.35
3/26/2020,5360.488
3/27/2020,5179.924
3/30/2020,5354.395
3/31/2020,5269.201
4/1/2020,5036.642
4/2/2020,5152.467
4/3/2020,5075.16
4/6/2020,5432.17
4/7/2020,5423.525
4/8/2020,5609.551
4/9/2020,5691.541
4/13/2020,5634.148
4/14/2020,5807.098
4/15/2020,5679.53
4/16/2020,5712.599
4/17/2020,5865.898
4/20/2020,5761.002
4/21/2020,5584.437
4/22/2020,5712.652
4/23/2020,5710.039
4/24/2020,5789.646
4/27/2020,5874.935
4/28/2020,5844.183
4/29/2020,5999.737
4/30/2020,5944.68
5/1/2020,5778.526
5/4/2020,5803.122
5/5/2020,5855.579
5/6/2020,5815.172
5/7/2020,5884.14
5/8/2020,5984.547
5/11/2020,5985.658
5/12/2020,5863.684
5/13/2020,5761.696
5/14/2020,5829.334
5/15/2020,5852.841
5/18/2020,6037.902
5/19/2020,5975.15
5/20/2020,6075.763
5/21/2020,6028.934
5/22/2020,6044.164
5/26/2020,6118.536
5/27/2020,6209.384
5/28/2020,6197.016
5/29/2020,6227.813
6/1/2020,6251.476
6/2/2020,6303
6/3/2020,6389.67
6/4/2020,6369.535
6/5/2020,6536.579
6/8/2020,6615.404
6/9/2020,6564.27
6/10/2020,6529.42
6/11/2020,6145.302
6/12/2020,6227.419
6/15/2020,6279.399
6/16/2020,6398.576
6/17/2020,6375.537
6/18/2020,6379.555
6/19/2020,6344.702
6/22/2020,6385.912
6/23/2020,6413.445
6/24/2020,6247.662
6/25/2020,6316.45
6/26/2020,6163.504
6/29/2020,6254.781
6/30/2020,6351.667
7/1/2020,6383.763
7/2/2020,6414.155
7/6/2020,6516.052
7/7/2020,6445.588
7/8/2020,6496.139
7/9/2020,6461.312
7/10/2020,6528.961
7/13/2020,6467.836
7/14/2020,6555.403
7/15/2020,6615.069
7/16/2020,6592.747
7/17/2020,6611.864
7/20/2020,6667.452
7/21/2020,6678.744
7/22/2020,6717.286
7/23/2020,6635.044
7/24/2020,6594.102
7/27/2020,6642.895
7/28/2020,6599.969
7/29/2020,6682.012
7/30/2020,6658.016
7/31/2020,6709.806
8/3/2020,6758.199
8/4/2020,6782.603
8/5/2020,6826.221
8/6/2020,6870.862
8/7/2020,6876.646
8/10/2020,6895.595
8/11/2020,6840.674
8/12/2020,6937.442
8/13/2020,6924.96
8/14/2020,6924.282
8/17/2020,6943.223
8/18/2020,6960.301
8/19/2020,6930.805
8/20/2020,6952.925
8/21/2020,6977.271
8/24/2020,7048.174
8/25/2020,7073.597
8/26/2020,7145.769
8/27/2020,7158.182
8/28/2020,7207.098
8/31/2020,7192.111
9/1/2020,7246.375
9/2/2020,7358.485
9/3/2020,7101.382
9/4/2020,7043.624
9/8/2020,6848.421
9/9/2020,6986.757
9/10/2020,6864.233
9/11/2020,6868.219
9/14/2020,6957.912
9/15/2020,6994.333
9/16/2020,6962.287
9/17/2020,6903.824
9/18/2020,6826.719
9/21/2020,6748.075
9/22/2020,6819.082
9/23/2020,6657.816
9/24/2020,6678.038
9/25/2020,6784.954
9/28/2020,6894.269
9/29/2020,6861.959
9/30/2020,6918.835
10/1/2020,6956.195
10/2/2020,6889.647
10/5/2020,7014.227
10/6/2020,6916.397
10/7/2020,7036.909
10/8/2020,7095.399
10/9/2020,7157.924
10/12/2020,7275.431
10/13/2020,7229.553
10/14/2020,7182.376
10/15/2020,7171.608
10/16/2020,7172.699
10/19/2020,7055.583
10/20/2020,7089.057
10/21/2020,7073.654
10/22/2020,7111.171
10/23/2020,7135.807
10/26/2020,7003.211
10/27/2020,6982.139
10/28/2020,6735.749
10/29/2020,6816.794
10/30/2020,6734.837
11/2/2020,6817.891
11/3/2020,6939.3
11/4/2020,7092.303
11/5/2020,7231.669
11/6/2020,7230.515
11/9/2020,7315.768
11/10/2020,7306.749
11/11/2020,7362.654
11/12/2020,7290.693
11/13/2020,7390.61
11/16/2020,7476.792
11/17/2020,7442.041
11/18/2020,7357.337
11/19/2020,7386.857
11/20/2020,7336.761
11/23/2020,7378.939
11/24/2020,7498.293
11/25/2020,7486.68
11/27/2020,7505.379
11/30/2020,7472.058
12/1/2020,7556.515
12/2/2020,7570.758
12/3/2020,7567.438
12/4/2020,7634.767
12/7/2020,7620.004
12/8/2020,7641.432
12/9/2020,7581.063
12/10/2020,7571.874
12/11/2020,7562.463
12/14/2020,7530.866
12/15/2020,7628.275
12/16/2020,7641.817
12/17/2020,7686.185
12/18/2020,7659.754
12/21/2020,7630.074
12/22/2020,7614.832
12/23/2020,7620.634
12/24/2020,7648.393
12/28/2020,7715.102
12/29/2020,7697.926
12/30/2020,7709.098
12/31/2020,7759.345
1/4/2021,7645.269
1/5/2021,7700.345
1/6/2021,7744.429
1/7/2021,7861.095
1/8/2021,7905.276
1/11/2021,7853.447
1/12/2021,7856.725
1/13/2021,7874.754
1/14/2021,7846.096
1/15/2021,7789.791
1/19/2021,7853.47
1/20/2021,7962.919
1/21/2021,7966.11
1/22/2021,7942.204
1/25/2021,7970.922
1/26/2021,7959.1
1/27/2021,7754.74
1/28/2021,7831.217
1/29/2021,7681.009
2/1/2021,7804.312
2/2/2021,7912.87
2/3/2021,7920.852
2/4/2021,8007.615
2/5/2021,8039.671
2/8/2021,8099.332
2/9/2021,8091.697
2/10/2021,8089.11
2/11/2021,8104.195
2/12/2021,8142.788
2/16/2021,8139.155
2/17/2021,8137.879
2/18/2021,8102.243
2/19/2021,8087.682
2/22/2021,8025.814
2/23/2021,8036.06
2/24/2021,8127.378
2/25/2021,7929.563
2/26/2021,7892.812
3/1/2021,8080.781
3/2/2021,8015.538
3/3/2021,7911.215
3/4/2021,7806.453
3/5/2021,7958.979
3/8/2021,7916.406
3/9/2021,8029.204
3/10/2021,8078.048
3/11/2021,8162.585
3/12/2021,8172.897
3/15/2021,8226.318
3/16/2021,8213.628
3/17/2021,8237.352
3/18/2021,8116.167
3/19/2021,8112.134
3/22/2021,8169.136
3/23/2021,8106.833
3/24/2021,8062.996
3/25/2021,8105.511
3/26/2021,8240.381
3/29/2021,8233.245
3/30/2021,8208.097
3/31/2021,8238.483
4/1/2021,8335.909
4/5/2021,8457.397
4/6/2021,8449.542
4/7/2021,8462.175
4/8/2021,8499.85
4/9/2021,8565.573
4/12/2021,8564.03
4/13/2021,8592.246
4/14/2021,8558.156
4/15/2021,8653.287
4/16/2021,8684.506
4/19/2021,8638.421
4/20/2021,8579.947
4/21/2021,8659.799
4/22/2021,8580.731
4/23/2021,8674.796
4/26/2021,8690.257
4/27/2021,8688.452
4/28/2021,8681.166
4/29/2021,8740.349
4/30/2021,8678.161
5/3/2021,8702.025
5/4/2021,8643.913
5/5/2021,8650.038
5/6/2021,8722.036
5/7/2021,8787.815
5/10/2021,8696.294
5/11/2021,8620.979
5/12/2021,8437.235
5/13/2021,8541.386
5/14/2021,8669.49
5/17/2021,8647.569
5/18/2021,8574.978
5/19/2021,8550.945
5/20/2021,8641.98
5/21/2021,8635.546
5/24/2021,8721.999
5/25/2021,8703.59
5/26/2021,8720.039
5/27/2021,8730.968
5/28/2021,8738.772
6/1/2021,8734.744
6/2/2021,8748.297
6/3/2021,8717.973
6/4/2021,8795.076
6/7/2021,8788.279
6/8/2021,8789.996
6/9/2021,8774.313
6/10/2021,8815.562
6/11/2021,8832.944
6/14/2021,8851.166
6/15/2021,8833.675
6/16/2021,8786.178
6/17/2021,8782.584
6/18/2021,8667.763
6/21/2021,8789.522
6/22/2021,8834.558
6/23/2021,8825.014
6/24/2021,8877.065
6/25/2021,8906.791
6/28/2021,8927.401
6/29/2021,8930.666
6/30/2021,8942.777
7/1/2021,8990.08
7/2/2021,9058.659
7/6/2021,9040.76
7/7/2021,9071.143
7/8/2021,8995.262
7/9/2021,9096.84
7/12/2021,9128.223
7/13/2021,9096.148
7/14/2021,9107.848
7/15/2021,9078.328
7/16/2021,9009.89
7/19/2021,8867.066
7/20/2021,9001.771
7/21/2021,9075.975
7/22/2021,9094.954
7/23/2021,9187.635
7/26/2021,9209.632
7/27/2021,9166.267
7/28/2021,9164.62
7/29/2021,9204.248
7/30/2021,9155.212
8/2/2021,9138.36
8/3/2021,9213.348
8/4/2021,9170.761
8/5/2021,9226.488
8/6/2021,9243.027
8/9/2021,9235.048
8/10/2021,9244.216
8/11/2021,9267.403
8/12/2021,9297.199
8/13/2021,9312.511
